tag,release_datetime
v1.0.1,2024-03-13T16:14:26
v1.0.2,2024-04-18T11:46:51
v1.0.3,2024-04-30T13:11:44
v1.0.4,2024-05-17T09:24:35
v1.0.5,2024-05-21T09:22:11
v1.0.6,2024-05-23T10:05:40
v1.0.7,2024-06-04T13:16:42
v1.0.8,2024-06-13T09:16:22
v1.0.9,2024-06-20T07:46:01
v1.0.10,2024-06-27T08:04:23
v1.0.11,2024-07-04T08:04:03
v1.0.12,2024-07-18T08:59:40
v1.0.13,2024-07-25T08:50:00
v1.0.14,2024-08-01T10:05:55
v1.0.15,2024-08-08T09:45:03
v1.0.17,2024-08-27T10:19:54
v1.0.18,2024-08-29T09:24:33
v1.0.19,2024-09-06T10:40:14
v1.0.20,2024-09-12T09:08:39
v1.0.21,2024-09-19T09:14:17
v1.0.22,2024-09-26T09:24:16
v1.0.23,2024-10-03T09:02:49
v1.1.0,2024-10-10T08:52:55
v1.1.1,2024-10-17T08:27:48
v1.1.2,2024-10-24T09:58:19
v1.1.3,2024-10-31T10:27:16
v1.1.4,2024-11-07T14:06:18
v1.1.5,2024-11-19T10:31:50
v1.1.6,2024-11-21T11:11:51
v1.1.7,2024-11-28T13:00:45
v1.1.8,2024-12-05T12:47:00
v1.1.9,2025-01-08T15:57:32
v1.1.10,2025-01-16T09:18:13
v1.1.11,2025-01-23T11:04:36
v1.1.12,2025-02-07T10:10:36
v1.1.13,2025-02-13T09:44:29
v1.1.14,2025-02-26T13:26:43
v1.1.15,2025-03-06T08:51:07
v1.1.16,2025-03-13T09:08:43
v1.1.17,2025-03-20T09:03:50
v1.1.18,2025-03-27T11:34:44
v1.1.19,2025-04-03T09:51:34
v1.1.20,2025-04-14T12:08:54
v1.1.21,2025-04-24T10:32:48
v1.1.22,2025-05-08T11:37:12
fhir-validator-PR-283,2025-05-28T15:27:43
v1.1.23,2025-05-29T10:10:38
v1.1.24,2025-06-09T11:25:48
v1.1.25,2025-06-12T15:18:11
fhir-validator-PR-283,2025-07-01T10:40:52
fhir-validator-PR-283,2025-07-01T14:38:02
fhir-validator-PR-283,2025-07-01T20:10:04
v1.1.26,2025-07-07T13:10:21
v1.1.27,2025-07-14T08:10:22
v1.1.28,2025-07-17T08:37:21
v1.1.29,2025-07-23T14:46:38
v1.1.30,2025-08-08T11:08:05
v1.1.31,2025-08-13T23:01:38
v1.1.32,2025-08-27T11:29:50
v1.1.33,2025-09-11T11:47:04
v1.1.34,2025-09-17T10:36:24
v1.1.35,2025-10-01T12:00:47
v1.1.36,2025-10-08T12:02:53
v1.1.37,2025-10-23T10:09:39
v1.1.38,2025-10-29T13:48:07
v1.1.39,2025-11-05T13:14:08
v1.1.40,2025-11-13T10:00:21
v1.1.41,2025-11-20T11:17:12
v1.1.42,2025-11-26T14:28:31
v1.1.43,2025-12-03T14:05:23
v1.1.44,2025-12-10T12:59:39
v1.1.45,2026-01-08T08:59:58
v1.1.46,2026-01-14T14:56:29
v1.1.47,2026-01-21T11:19:22
v1.1.48,2026-01-28T17:12:51
v1.1.49,2026-02-04T11:56:58
v1.1.50,2026-02-11T12:26:50
v1.1.51,2026-02-19T08:34:53
v1.1.52,2026-02-25T11:19:34
v1.1.53,2026-03-06T09:36:27
v1.1.54,2026-03-12T10:26:55
v1.1.55,2026-03-26T11:36:24
v1.1.56,2026-03-30T10:38:29
v1.1.57,2026-04-13T16:21:57
